Name,Link,Price_AMD,Price_USD,State,City,Address,Category,Review_Count,Average_Score,Free_WiFi,Breakfast_Included,Free_Parking,Swimming_Pool
Palma Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d8343641-Reviews-Palma_Hotel-Yerevan.html,15000.0,31.0,Yerevan,Yerevan,Adonts N. str. 13/3,Other,0,0.0,1,0,1,0
Palma Palace Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d7727415-Reviews-Palma_Palace_Hotel-Yerevan.html,29167.0,60.0,Yerevan,Yerevan,Myasnikyana ave 59,B&Bs,5,4.5,1,0,1,0
Palma,https://www.tripadvisor.com//Hotel_Review-g815351-d14912965-Reviews-Palma-Alaverdi_Lori_Province.html,29167.0,60.0,Lori Province,Alaverdi,"Zoravar Andranik, 327",Specialty Lodging,1,5.0,1,0,1,0
Panorama Dilijan,https://www.tripadvisor.com//Hotel_Review-g1160895-d14189773-Reviews-Panorama_Dilijan-Dilijan_Tavush_Province.html,30000.0,62.0,Tavush Province,Dilijan,Kalinin 286,B&Bs,1,5.0,1,0,1,0
Panorama Yerevan Resort,https://www.tripadvisor.com//Hotel_Review-g293932-d5975411-Reviews-Panorama_Yerevan_Resort-Yerevan.html,28500.0,59.0,Yerevan,Yerevan,G.Hovsepyan 24/3,Hotel,40,4.85,1,0,1,0
Parev Doon,https://www.tripadvisor.com//Hotel_Review-g293932-d2200845-Reviews-Parev_Doon-Yerevan.html,10817.0,22.0,Yerevan,Yerevan,"71, 11th Street",B&Bs,20,4.85,1,0,1,0
Paris Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d7004445-Reviews-Paris_Hotel-Yerevan.html,40833.0,84.0,Yerevan,Yerevan,Amiryan str. 4/6,Hotel,449,4.66439909297052,1,0,1,0
Parisis B&B in Alaverdi,https://www.tripadvisor.com//Hotel_Review-g815351-d11963001-Reviews-Parisis_B_B_in_Alaverdi-Alaverdi_Lori_Province.html,39771.0,82.0,Lori Province,Alaverdi,Jravazani Street 2,B&Bs,9,4.25,1,0,1,0
Park Apartments by Picnic,https://www.tripadvisor.com//Hotel_Review-g293932-d5322339-Reviews-Park_Apartments_by_Picnic-Yerevan.html,12750.0,26.0,Yerevan,Yerevan,Arami str. 70,Specialty Lodging,12,4.75,1,0,1,0
Park Avenue,https://www.tripadvisor.com//Hotel_Review-g293932-d6196957-Reviews-Park_Avenue-Yerevan.html,15417.0,32.0,Yerevan,Yerevan,"Tevosyana St., 21/5",B&Bs,9,4.22222222222222,0,0,0,0
Park Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d8099642-Reviews-Park_Hotel-Yerevan.html,20800.0,43.0,Yerevan,Yerevan,Kokhbatsi str. 28,B&Bs,24,4.04166666666667,1,0,1,0
Paronyan Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d12669770-Reviews-Paronyan_Hostel-Yerevan.html,11000.0,23.0,Yerevan,Yerevan,Paronyana str. 16,Specialty Lodging,3,1.0,1,0,1,0
Parvana Odjax,https://www.tripadvisor.com//Hotel_Review-g815353-d7088634-Reviews-Parvana_Odjax-Gyumri_Shirak_Province.html,20000.0,41.0,Shirak Province,Gyumri,Azatan,B&Bs,4,5.0,1,0,1,0
Parvana,https://www.tripadvisor.com//Hotel_Review-g2426280-d14915003-Reviews-Parvana-Odzun_Alaverdi_Lori_Province.html,74900.0,154.0,Lori Province,Alaverdi,Street 10,Other,0,0.0,0,0,0,0
Parvani Hotel,https://www.tripadvisor.com//Hotel_Review-g2711288-d5857896-Reviews-Parvani_Hotel-Vayk_Vayots_Dzor_Province.html,16658.0,34.0,Vayots Dzor Province,Vayk,"Vayk-Goris Highway, kilometer 9",Other,0,0.0,0,0,0,0
Penthouse Hotel & Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d1988128-Reviews-Penthouse_Hotel_Hostel-Yerevan.html,18417.0,38.0,Yerevan,Yerevan,Ap. 33a Koryun str.,Specialty Lodging,98,4.53061224489796,1,1,0,0
Petit Dilijan B&B,https://www.tripadvisor.com//Hotel_Review-g1160895-d6865017-Reviews-Petit_Dilijan_B_B-Dilijan_Tavush_Province.html,15000.0,31.0,Tavush Province,Dilijan,Sharambeyan st 22,Specialty Lodging,5,3.5,1,0,1,0
Posutochnyy Gostevoy Dom,https://www.tripadvisor.com//Hotel_Review-g815353-d13969779-Reviews-Posutochnyy_Gostevoy_Dom-Gyumri_Shirak_Province.html,18333.0,38.0,Shirak Province,Gyumri,Gorki Street 58,Other,0,0.0,0,0,0,0
Praha Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d9603327-Reviews-Praha_Hotel-Yerevan.html,18333.0,38.0,Yerevan,Yerevan,str. Tumanyan 22,Specialty Lodging,9,4.33333333333333,1,0,1,0
Premium Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d13285458-Reviews-Premium_Hotel-Yerevan.html,12121.0,25.0,Yerevan,Yerevan,Sayat Novy str. 33,Specialty Lodging,6,4.83333333333333,1,0,1,0
