Name,Link,Price_AMD,Price_USD,State,City,Address,Category,Review_Count,Average_Score,Free_WiFi,Breakfast_Included,Free_Parking,Swimming_Pool
Soviet Union style - B&B,https://www.tripadvisor.com//Hotel_Review-g2151208-d13343034-Reviews-Soviet_Union_style_B_B-Tsakhkadzor_Kotayk_Province.html,17075.0,35.0,Kotayk Province,Tsakhkadzor,Khachatur Kecharetsi Street,Other,0,0.0,0,0,0,0
Splendor Resort and Restaurant,https://www.tripadvisor.com//Hotel_Review-g2151208-d8830243-Reviews-Splendor_Resort_and_Restaurant-Tsakhkadzor_Kotayk_Province.html,15000.0,31.0,Kotayk Province,Tsakhkadzor,Harutyunyan St. 12,Specialty Lodging,7,4.57142857142857,1,0,1,0
Sports Complex Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d3494340-Reviews-Sports_Complex_Hotel-Tsakhkadzor_Kotayk_Province.html,37500.0,77.0,Kotayk Province,Tsakhkadzor,,Hotel,1,4.0,0,0,0,0
State University Guest House,https://www.tripadvisor.com//Hotel_Review-g293932-d2290225-Reviews-State_University_Guest_House-Yerevan.html,29083.0,60.0,Yerevan,Yerevan,Mashtots M. ave 52,B&Bs,15,3.73333333333333,0,0,0,0
Station Guest House,https://www.tripadvisor.com//Hotel_Review-g815353-d14158214-Reviews-Station_Guest_House-Gyumri_Shirak_Province.html,11667.0,24.0,Shirak Province,Gyumri,Teryan street 91/3,B&Bs,1,5.0,1,0,1,0
Station Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d12668957-Reviews-Station_Hostel-Yerevan.html,11242.0,23.0,Yerevan,Yerevan,Sasuntsi David str. 1/1,Specialty Lodging,2,4.5,1,0,1,0
Stepanavan Guest House,https://www.tripadvisor.com//Hotel_Review-g1066129-d2236983-Reviews-Stepanavan_Guest_House-Stepanavan_Lori_Province.html,187500.0,386.0,Lori Province,Stepanavan,Milion Street 11,B&Bs,2,5.0,1,0,1,0
Studio Guest House,https://www.tripadvisor.com//Hotel_Review-g293932-d16667555-Reviews-Studio_Guest_House-Yerevan.html,13333.0,27.0,Yerevan,Yerevan,Tamanyan str. 6/2,Specialty Lodging,1,5.0,0,0,0,0
Sunshine Guest House,https://www.tripadvisor.com//Hotel_Review-g293932-d15327202-Reviews-Sunshine_Guest_House-Yerevan.html,9790.0,20.0,Yerevan,Yerevan,Street Zoravar Andranik 54/6,Other,0,0.0,0,0,0,0
SV Hotel Complex,https://www.tripadvisor.com//Hotel_Review-g293932-d6963176-Reviews-SV_Hotel_Complex-Yerevan.html,36000.0,74.0,Yerevan,Yerevan,Davtashen-Eghvard Highway,Other,0,0.0,0,0,0,0
Sva Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d5983834-Reviews-Sva_Hotel-Yerevan.html,9600.0,20.0,Yerevan,Yerevan,Rubinyantsa str. 33,Hotel,1,4.0,1,0,0,0
Svarants Guesthouse,https://www.tripadvisor.com//Hotel_Review-g666439-d15075563-Reviews-Svarants_Guesthouse-Goris_Syunik_Province.html,20667.0,43.0,Syunik Province,Goris,Svarants Armenia 3/5,Other,0,0.0,0,0,0,0
Sweet Home Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d8310924-Reviews-Sweet_Home_Hostel-Yerevan.html,20833.0,43.0,Yerevan,Yerevan,Qeri 55,Specialty Lodging,30,4.8,1,0,1,0
Syuniq Hotel,https://www.tripadvisor.com//Hotel_Review-g666439-d12213975-Reviews-Syuniq_Hotel-Goris_Syunik_Province.html,36001.0,74.0,Syunik Province,Goris,Artsakhyan Highway 1,B&Bs,1,4.0,1,0,1,0
Takht House,https://www.tripadvisor.com//Hotel_Review-g1160895-d8029102-Reviews-Takht_House-Dilijan_Tavush_Province.html,14167.0,29.0,Tavush Province,Dilijan,"Ordzhonikidze Str., 3rd Alley 14",Specialty Lodging,7,3.85714285714286,1,0,1,0
Tatev Apartments,https://www.tripadvisor.com//Hotel_Review-g293932-d12518196-Reviews-Tatev_Apartments-Yerevan.html,10833.0,22.0,Yerevan,Yerevan,"Marshala Bagramyana St., 12, 1st Line",B&Bs,1,5.0,0,0,0,0
Tatev Guesthouse,https://www.tripadvisor.com//Hotel_Review-g666439-d3871192-Reviews-Tatev_Guesthouse-Goris_Syunik_Province.html,32000.0,66.0,Syunik Province,Goris,59 Artsakhyan Highway,B&Bs,1,4.0,1,0,0,0
Tatev Hostel & Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d15676977-Reviews-Tatev_Hostel_Hotel-Yerevan.html,11992.0,25.0,Yerevan,Yerevan,Kochar Yervand str. 2/5,Other,0,0.0,1,1,0,0
Technical Center-Academy,https://www.tripadvisor.com//Hotel_Review-g293932-d2442927-Reviews-Technical_Center_Academy-Yerevan.html,50000.0,103.0,Yerevan,Yerevan,Acharyan str. 35/31,Other,0,0.0,0,0,0,0
Tezh Ler Resort,https://www.tripadvisor.com//Hotel_Review-g1438527-d3493989-Reviews-Tezh_Ler_Resort-Vanadzor_Lori_Province.html,17250.0,35.0,Lori Province,Vanadzor,,B&Bs,51,4.37254901960784,1,0,1,0
Thailand Centre,https://www.tripadvisor.com//Hotel_Review-g293932-d14929193-Reviews-Thailand_Centre-Yerevan.html,5825.0,12.0,Yerevan,Yerevan,Kochar Yervand str. 19/6,B&Bs,2,3.0,0,0,0,0
"The Alexander, a Luxury Collection Hotel, Yerevan",https://www.tripadvisor.com//Hotel_Review-g293932-d13950040-Reviews-The_Alexander_a_Luxury_Collection_Hotel_Yerevan-Yerevan.html,95869.0,197.0,Yerevan,Yerevan,Abovyan str. 3/4,Hotel,15,4.46666666666667,1,0,0,1
The Best Vacation (VAN),https://www.tripadvisor.com//Hotel_Review-g666442-d14910310-Reviews-The_Best_Vacation_VAN-Sevan_Lake_Sevan_Gegharkunik_Province.html,24167.0,50.0,Gegharkunik Province,Lake Sevan,Yerevan Sevan highway 61km,Other,0,0.0,0,0,0,0
The Doctor's House B&B,https://www.tripadvisor.com//Hotel_Review-g293932-d12319090-Reviews-The_Doctor_s_House_B_B-Yerevan.html,12492.0,26.0,Yerevan,Yerevan,Apt. 58 Aygyestan 11 str.,Other,0,0.0,1,0,0,0
The Grand Armenian Hostel,https://www.tripadvisor.com//Hotel_Review-g8838761-d15221350-Reviews-The_Grand_Armenian_Hostel-Ptghni_Kotayk_Province.html,9588.0,20.0,Kotayk Province,Ptghni,"Number Home, 3 Number Street 9",Other,0,0.0,0,0,0,0
The Highway Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d15074575-Reviews-The_Highway_Hostel-Yerevan.html,4992.0,10.0,Yerevan,Yerevan,Davitashyen str. 3,Other,0,0.0,0,0,0,0
The Ivory,https://www.tripadvisor.com//Hotel_Review-g293932-d9721756-Reviews-The_Ivory-Yerevan.html,17308.0,36.0,Yerevan,Yerevan,Isaakyan A. str. 38/2,B&Bs,9,5.0,0,0,0,0
The Place by J,https://www.tripadvisor.com//Hotel_Review-g293932-d12999501-Reviews-The_Place_by_J-Yerevan.html,15408.0,32.0,Yerevan,Yerevan,Flat 27 Movses Khorenatsi Street,Other,0,0.0,1,0,1,0
The Rooms Hostel Yerevan,https://www.tripadvisor.com//Hotel_Review-g293932-d13854775-Reviews-The_Rooms_Hostel_Yerevan-Yerevan.html,20000.0,41.0,Yerevan,Yerevan,53 Pavstos Buzand Street,Specialty Lodging,2,5.0,0,0,0,0
Theatre Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d1568148-Reviews-Theatre_Hostel-Yerevan.html,20833.0,43.0,Yerevan,Yerevan,27 Tigran Mets Ave,Specialty Lodging,91,4.18681318681319,1,0,1,0
Three Jugs,https://www.tripadvisor.com//Hotel_Review-g293932-d2229384-Reviews-Three_Jugs-Yerevan.html,10833.0,22.0,Yerevan,Yerevan,"Jrvezh District, 123",B&Bs,60,4.73333333333333,1,0,1,0
Tigran Mets Hotel,https://www.tripadvisor.com//Hotel_Review-g815353-d12575822-Reviews-Tigran_Mets_Hotel-Gyumri_Shirak_Province.html,11553.0,24.0,Shirak Province,Gyumri,Teryan Street Teryan 143,Other,0,0.0,0,0,0,0
Tomu's Hotel,https://www.tripadvisor.com//Hotel_Review-g815353-d14980265-Reviews-Tomu_s_Hotel-Gyumri_Shirak_Province.html,9990.0,21.0,Shirak Province,Gyumri,Gorki Street 58,Other,0,0.0,0,0,0,0
Tonratun Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d6879269-Reviews-Tonratun_Hotel-Tsakhkadzor_Kotayk_Province.html,21090.0,43.0,Kotayk Province,Tsakhkadzor,Yeghishe Charents 2,B&Bs,1,5.0,1,0,1,0
Toon Armeni,https://www.tripadvisor.com//Hotel_Review-g1160895-d3850214-Reviews-Toon_Armeni-Dilijan_Tavush_Province.html,17708.0,36.0,Tavush Province,Dilijan,Kamarin Street 4,B&Bs,49,4.53061224489796,1,0,1,0
Torosyans' Guesthouse,https://www.tripadvisor.com//Hotel_Review-g293932-d10350134-Reviews-Torosyans_Guesthouse-Yerevan.html,4800.0,10.0,Yerevan,Yerevan,M. Babajanyan 16,Specialty Lodging,1,5.0,0,0,0,0
Toscana Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d9812286-Reviews-Toscana_Hotel-Yerevan.html,14972.0,31.0,Yerevan,Yerevan,Garegin Nzhdehi St. 37/9,Other,0,0.0,0,0,0,0
Tsaghkadzor Bryusov Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d7726615-Reviews-Tsaghkadzor_Bryusov_Hotel-Tsakhkadzor_Kotayk_Province.html,22028.0,45.0,Kotayk Province,Tsakhkadzor,,Other,0,0.0,1,0,1,0
Tsaghkadzor Guest House,https://www.tripadvisor.com//Hotel_Review-g2151208-d15609393-Reviews-Tsaghkadzor_Guest_House-Tsakhkadzor_Kotayk_Province.html,17250.0,35.0,Kotayk Province,Tsakhkadzor,Isahakyan Street 4,Other,0,0.0,0,0,0,0
Tsaghkadzor Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d7646165-Reviews-Tsaghkadzor_Hotel-Tsakhkadzor_Kotayk_Province.html,34000.0,70.0,Kotayk Province,Tsakhkadzor,Tsaghkunyats Square 3,Other,0,0.0,0,0,0,0
Tsaghkadzor Marriott Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d3423772-Reviews-Tsaghkadzor_Marriott_Hotel-Tsakhkadzor_Kotayk_Province.html,11250.0,23.0,Kotayk Province,Tsakhkadzor,Tandzaghpyur Street 2 4/1,Hotel,235,4.4537037037037,1,0,1,0
Tsaghkadzor Villas,https://www.tripadvisor.com//Hotel_Review-g2151208-d10210988-Reviews-Tsaghkadzor_Villas-Tsakhkadzor_Kotayk_Province.html,95869.0,197.0,Kotayk Province,Tsakhkadzor,Tandzaghbyur St. 15/6,Specialty Lodging,1,5.0,1,0,1,0
Tsaghkahovit Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d3265313-Reviews-Tsaghkahovit_Hotel-Tsakhkadzor_Kotayk_Province.html,11658.0,24.0,Kotayk Province,Tsakhkadzor,Tandzaghpyur Street 25,Hotel,47,3.95744680851064,1,0,1,0
Tsghotner,https://www.tripadvisor.com//Hotel_Review-g293932-d9771458-Reviews-Tsghotner-Yerevan.html,29167.0,60.0,Yerevan,Yerevan,Zavaryan str. 97,B&Bs,1,5.0,1,0,1,0
Tsirani ApartHotel,https://www.tripadvisor.com//Hotel_Review-g293932-d7993885-Reviews-Tsirani_ApartHotel-Yerevan.html,19992.0,41.0,Yerevan,Yerevan,"Babadzhanyana Street 3, Bldg 1",B&Bs,14,5.0,1,0,1,0
Tufenkian Avan Marak Tsapatagh,https://www.tripadvisor.com//Hotel_Review-g608454-d569487-Reviews-Tufenkian_Avan_Marak_Tsapatagh-Lake_Sevan_Gegharkunik_Province.html,26890.0,55.0,Gegharkunik Province,Lake Sevan,"Gegharkuniq Region, Village Tsapatagh",Hotel,119,4.14285714285714,0,1,1,0
Tufenkian Historic Yerevan Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d3634113-Reviews-Tufenkian_Historic_Yerevan_Hotel-Yerevan.html,33934.0,70.0,Yerevan,Yerevan,Anrapyetutsyan str. 48,Hotel,424,4.54739336492891,1,1,0,0
Tumo's Hotel,https://www.tripadvisor.com//Hotel_Review-g815353-d13434091-Reviews-Tumo_s_Hotel-Gyumri_Shirak_Province.html,28750.0,59.0,Shirak Province,Gyumri,Gorki Street 58,Other,0,0.0,1,0,0,0
Tunn Kilikio,https://www.tripadvisor.com//Hotel_Review-g293932-d14985760-Reviews-Tunn_Kilikio-Yerevan.html,21990.0,45.0,Yerevan,Yerevan,Tsitsernakaberd Highway 4/5,Other,0,0.0,0,0,0,0
U Mykhaylycha,https://www.tripadvisor.com//Hotel_Review-g1160895-d13992203-Reviews-U_Mykhaylycha-Dilijan_Tavush_Province.html,28750.0,59.0,Tavush Province,Dilijan,M8,Other,0,0.0,0,0,0,0
Uiutnyi Dom,https://www.tripadvisor.com//Hotel_Review-g1160895-d15196819-Reviews-Uiutnyi_Dom-Dilijan_Tavush_Province.html,13315.0,27.0,Tavush Province,Dilijan,"Kalinina,11 A Chastnyi dom",Other,0,0.0,0,0,0,0
Umba Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d8408895-Reviews-Umba_Hostel-Yerevan.html,9167.0,19.0,Yerevan,Yerevan,"Belyakov St., 5",Specialty Lodging,65,4.15873015873016,1,0,1,0
University Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d6579130-Reviews-University_Hotel-Tsakhkadzor_Kotayk_Province.html,65910.0,136.0,Kotayk Province,Tsakhkadzor,Tandzagbyur Street 29,Hotel,17,4.0,0,0,0,0
Urartu Complex,https://www.tripadvisor.com//Hotel_Review-g293932-d15415630-Reviews-Urartu_Complex-Yerevan.html,6742.0,14.0,Yerevan,Yerevan,Tcovakal Isakovi 26,Other,0,0.0,0,0,0,0
Vagary Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d10119572-Reviews-Vagary_Hostel-Yerevan.html,14583.0,30.0,Yerevan,Yerevan,Movses Khorenatsi str. 30/72,Specialty Lodging,21,4.76190476190476,1,0,1,0
Vahagn Resort,https://www.tripadvisor.com//Hotel_Review-g1066129-d13980345-Reviews-Vahagn_Resort-Stepanavan_Lori_Province.html,8000.0,16.0,Lori Province,Stepanavan,"Antarayin St., 55",Specialty Lodging,1,5.0,1,0,1,0
Vale Hotel Complex,https://www.tripadvisor.com//Hotel_Review-g815353-d14203768-Reviews-Vale_Hotel_Complex-Gyumri_Shirak_Province.html,23325.0,48.0,Shirak Province,Gyumri,Vazgen Sargsyan Street 30,B&Bs,1,4.0,0,0,0,0
Valensia Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d308343-Reviews-Valensia_Hotel-Yerevan.html,9992.0,21.0,Yerevan,Yerevan,Myasnikyana ave 40,Hotel,21,0.0,1,0,1,0
Valetta,https://www.tripadvisor.com//Hotel_Review-g2151208-d16737460-Reviews-Valetta-Tsakhkadzor_Kotayk_Province.html,23990.0,49.0,Kotayk Province,Tsakhkadzor,Vladimir Harutyunyan 7 Shenk,Other,0,0.0,0,0,0,0
VAN - Hotel & Restaurant Complex,https://www.tripadvisor.com//Hotel_Review-g666442-d12847672-Reviews-VAN_Hotel_Restaurant_Complex-Sevan_Lake_Sevan_Gegharkunik_Province.html,37500.0,77.0,Gegharkunik Province,Lake Sevan,Yerevan Sevan Highway 61KM,Other,0,0.0,1,0,1,0
VAN Garden,https://www.tripadvisor.com//Hotel_Review-g1438527-d15604706-Reviews-VAN_Garden-Vanadzor_Lori_Province.html,7990.0,16.0,Lori Province,Vanadzor,Lalvari 30,Other,0,0.0,0,0,0,0
Van Hotel Goris,https://www.tripadvisor.com//Hotel_Review-g666439-d14898059-Reviews-Van_Hotel_Goris-Goris_Syunik_Province.html,23325.0,48.0,Syunik Province,Goris,Artsakhyan Highway 44,Other,0,0.0,0,0,0,0
VAN Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d9464494-Reviews-VAN_Hotel-Yerevan.html,18333.0,38.0,Yerevan,Yerevan,Tumanyan O. str. 23/1,B&Bs,1,2.0,1,0,0,0
Vanadzor Armenia Health Resort & Hotel,https://www.tripadvisor.com//Hotel_Review-g1438527-d2443142-Reviews-Vanadzor_Armenia_Health_Resort_Hotel-Vanadzor_Lori_Province.html,20000.0,41.0,Lori Province,Vanadzor,Zakaryan St. 31,Specialty Lodging,4,3.75,1,0,1,0
Vanadzor Guest House,https://www.tripadvisor.com//Hotel_Review-g1438527-d13956312-Reviews-Vanadzor_Guest_House-Vanadzor_Lori_Province.html,18333.0,38.0,Lori Province,Vanadzor,Mashtoci 22,B&Bs,4,5.0,1,0,1,0
Vanadzor Hostel,https://www.tripadvisor.com//Hotel_Review-g1438527-d12148166-Reviews-Vanadzor_Hostel-Vanadzor_Lori_Province.html,17500.0,36.0,Lori Province,Vanadzor,Banaki 32,Other,0,0.0,1,0,1,0
Vanadzor Hotel & Restaurant,https://www.tripadvisor.com//Hotel_Review-g1438527-d7371965-Reviews-Vanadzor_Hotel_Restaurant-Vanadzor_Lori_Province.html,18000.0,37.0,Lori Province,Vanadzor,Bolor-Kari Street 4,Other,0,0.0,0,0,0,0
Vanas,https://www.tripadvisor.com//Hotel_Review-g2711245-d13120746-Reviews-Vanas-Kapan_Syunik_Province.html,11242.0,23.0,Syunik Province,Kapan,Ulitsa Gakhtakannieri 3A,B&Bs,1,2.0,1,0,1,0
Vanatur Hotel,https://www.tripadvisor.com//Hotel_Review-g815353-d10045980-Reviews-Vanatur_Hotel-Gyumri_Shirak_Province.html,10833.0,22.0,Shirak Province,Gyumri,Gorkih 70A St,Hotel,4,3.0,1,0,1,0
Vanatur Restaurant-Hotel,https://www.tripadvisor.com//Hotel_Review-g2711245-d13529746-Reviews-Vanatur_Restaurant_Hotel-Kapan_Syunik_Province.html,8582.0,18.0,Syunik Province,Kapan,"A. Manukyan 1, 1/3-1/7",Other,0,0.0,1,0,1,0
Vardananc Tun,https://www.tripadvisor.com//Hotel_Review-g2711288-d10359530-Reviews-Vardananc_Tun-Vayk_Vayots_Dzor_Province.html,14992.0,31.0,Vayots Dzor Province,Vayk,Azatutyan St. 5,Other,0,0.0,1,0,1,0
Vayk Hotel,https://www.tripadvisor.com//Hotel_Review-g2711288-d6197144-Reviews-Vayk_Hotel-Vayk_Vayots_Dzor_Province.html,5592.0,12.0,Vayots Dzor Province,Vayk,Jermuk Highway 10A,Hotel,31,4.54838709677419,1,0,1,0
Vayots Dzor Tourism Center & Hotel,https://www.tripadvisor.com//Hotel_Review-g2711288-d3870850-Reviews-Vayots_Dzor_Tourism_Center_Hotel-Vayk_Vayots_Dzor_Province.html,9492.0,20.0,Vayots Dzor Province,Vayk,Jermuk Hgw 10a,Hotel,3,5.0,1,0,0,0
Venezia Palazzo,https://www.tripadvisor.com//Hotel_Review-g293932-d6908328-Reviews-Venezia_Palazzo-Yerevan.html,16667.0,34.0,Yerevan,Yerevan,Myasnikyana ave 38/4,Hotel,33,4.09090909090909,1,0,1,0
Venice Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d9799421-Reviews-Venice_Hotel-Yerevan.html,20833.0,43.0,Yerevan,Yerevan,Movses Khorenaci Street 217/19,Hotel,3,4.0,1,0,1,0
Verve Guest House,https://www.tripadvisor.com//Hotel_Review-g1160895-d12456000-Reviews-Verve_Guest_House-Dilijan_Tavush_Province.html,21090.0,43.0,Tavush Province,Dilijan,"Miyasnikian St., 76",Specialty Lodging,2,3.0,1,0,0,0
Viardo,https://www.tripadvisor.com//Hotel_Review-g2151208-d7099883-Reviews-Viardo-Tsakhkadzor_Kotayk_Province.html,13523.0,28.0,Kotayk Province,Tsakhkadzor,Vladimir Harutunyan str. 11,B&Bs,3,1.0,1,0,1,0
Villa at Stepanavan,https://www.tripadvisor.com//Hotel_Review-g1066129-d7719761-Reviews-Villa_at_Stepanavan-Stepanavan_Lori_Province.html,99854.0,205.0,Lori Province,Stepanavan,Shahumyan,Other,0,0.0,0,0,0,0
Villa Ayghedzor,https://www.tripadvisor.com//Hotel_Review-g293932-d3182495-Reviews-Villa_Ayghedzor-Yerevan.html,29167.0,60.0,Yerevan,Yerevan,Aygyedzor 23,B&Bs,21,4.23809523809524,1,1,0,0
Villa Delenda,https://www.tripadvisor.com//Hotel_Review-g293932-d1903421-Reviews-Villa_Delenda-Yerevan.html,29167.0,60.0,Yerevan,Yerevan,Kokhbatsi str. 22,B&Bs,90,4.33333333333333,1,0,0,0
Villa des Roses Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d2658500-Reviews-Villa_des_Roses_Hotel-Yerevan.html,11667.0,24.0,Yerevan,Yerevan,123 Armenakyan,B&Bs,4,4.0,1,0,1,0
Villa Jrvezh,https://www.tripadvisor.com//Hotel_Review-g1160895-d8488738-Reviews-Villa_Jrvezh-Dilijan_Tavush_Province.html,10000.0,21.0,Tavush Province,Dilijan,Kamo St. 146,B&Bs,30,4.73333333333333,1,0,0,0
Villa Kars,https://www.tripadvisor.com//Hotel_Review-g815353-d3324402-Reviews-Villa_Kars-Gyumri_Shirak_Province.html,17075.0,35.0,Shirak Province,Gyumri,Abovyan Street 182,Hotel,45,4.15909090909091,1,0,1,0
Villa Rosa,https://www.tripadvisor.com//Hotel_Review-g293932-d6215394-Reviews-Villa_Rosa-Yerevan.html,17500.0,36.0,Yerevan,Yerevan,"James Bryce St., 13",Specialty Lodging,14,4.07142857142857,1,0,1,0
Villadzor Apart Hotel,https://www.tripadvisor.com//Hotel_Review-g2151208-d8809486-Reviews-Villadzor_Apart_Hotel-Tsakhkadzor_Kotayk_Province.html,12309.0,25.0,Kotayk Province,Tsakhkadzor,Vladimir Harutunyan Street 3,Specialty Lodging,6,4.33333333333333,1,0,1,0
Villarest Cottage Complex,https://www.tripadvisor.com//Hotel_Review-g1160895-d6583947-Reviews-Villarest_Cottage_Complex-Dilijan_Tavush_Province.html,28750.0,59.0,Tavush Province,Dilijan,Parz Lich St. 20,Specialty Lodging,18,4.0,0,0,0,0
Voske Blur,https://www.tripadvisor.com//Hotel_Review-g815353-d9807480-Reviews-Voske_Blur-Gyumri_Shirak_Province.html,18333.0,38.0,Shirak Province,Gyumri,"Andranik Ozanyan St., 16",Specialty Lodging,2,3.0,1,0,1,0
Voske Getak,https://www.tripadvisor.com//Hotel_Review-g5921305-d10754184-Reviews-Voske_Getak-Arzakan_Kotayk_Province.html,17990.0,37.0,Kotayk Province,Arzakan,,Specialty Lodging,2,4.0,0,0,0,0
Voyage Central,https://www.tripadvisor.com//Hotel_Review-g293932-d12613018-Reviews-Voyage_Central-Yerevan.html,14900.0,31.0,Yerevan,Yerevan,Abovyan str. 20,Other,0,0.0,1,0,1,0
Voyage Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d8043455-Reviews-Voyage_Hotel-Yerevan.html,23810.0,49.0,Yerevan,Yerevan,Mashtots M. ave 3/6,B&Bs,1,1.0,1,0,0,0
Voyage Rest House,https://www.tripadvisor.com//Hotel_Review-g666442-d15054304-Reviews-Voyage_Rest_House-Sevan_Lake_Sevan_Gegharkunik_Province.html,28088.0,58.0,Gegharkunik Province,Lake Sevan,,Other,0,0.0,0,0,0,0
Wanderlust,https://www.tripadvisor.com//Hotel_Review-g293932-d12923571-Reviews-Wanderlust-Yerevan.html,18000.0,37.0,Yerevan,Yerevan,19 Teryan Street #17,Other,0,0.0,1,0,1,0
Welcome Apt. by AVS at 17 Buzand,https://www.tripadvisor.com//Hotel_Review-g293932-d15810407-Reviews-Welcome_Apt_by_AVS_at_17_Buzand-Yerevan.html,14158.0,29.0,Yerevan,Yerevan,17 Buzand Street,Other,0,0.0,0,0,0,0
Welcome City Center Apartments,https://www.tripadvisor.com//Hotel_Review-g293932-d15631678-Reviews-Welcome_City_Center_Apartments-Yerevan.html,21795.0,45.0,Yerevan,Yerevan,"17 Pavstos Buzand Street, Ap. B5-3",Specialty Lodging,1,5.0,0,0,0,0
Welcome Friends Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d15024437-Reviews-Welcome_Friends_Hostel-Yerevan.html,14990.0,31.0,Yerevan,Yerevan,"Yeznik Koghbatsi, 75",Specialty Lodging,4,4.5,1,1,0,0
White House Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d3640491-Reviews-White_House_Hotel-Yerevan.html,8000.0,16.0,Yerevan,Yerevan,29 Ayvazovskii,B&Bs,1,3.0,1,0,0,0
WIDI Mini-Hotel,https://www.tripadvisor.com//Hotel_Review-g2708780-d10515376-Reviews-WIDI_Mini_Hotel-Jermuk_Vayots_Dzor_Province.html,3742.0,8.0,Vayots Dzor Province,Jermuk,Charents 4,Other,0,0.0,0,0,0,0
World Of Gold Tsaghkadzor,https://www.tripadvisor.com//Hotel_Review-g2151208-d2443046-Reviews-World_Of_Gold_Tsaghkadzor-Tsakhkadzor_Kotayk_Province.html,22059.0,45.0,Kotayk Province,Tsakhkadzor,"Saralanji 2Nd Str., 2",Hotel,5,3.5,1,0,1,0
Wow guest house in apartment 141,https://www.tripadvisor.com//Hotel_Review-g293932-d16690360-Reviews-Wow_guest_house_in_apartment_141-Yerevan.html,22059.0,45.0,Yerevan,Yerevan,Vardanantsa str. 28,Other,0,0.0,0,0,0,0
Writers House,https://www.tripadvisor.com//Hotel_Review-g2151208-d3152385-Reviews-Writers_House-Tsakhkadzor_Kotayk_Province.html,50000.0,103.0,Kotayk Province,Tsakhkadzor,Charents St. 6,B&Bs,38,0.0,1,0,1,0
XY Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d10263186-Reviews-XY_Hotel-Yerevan.html,23333.0,48.0,Yerevan,Yerevan,"Garegin Nzhdehi St., 17",Other,0,0.0,0,0,0,0
Yeghevnut Hotel,https://www.tripadvisor.com//Hotel_Review-g666439-d2614185-Reviews-Yeghevnut_Hotel-Goris_Syunik_Province.html,33150.0,68.0,Syunik Province,Goris,Yerevanskoe Shosse 7,B&Bs,42,4.16666666666667,0,1,1,0
Yere1 Hotel & Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d15656614-Reviews-Yere1_Hotel_Hostel-Yerevan.html,9989.0,21.0,Yerevan,Yerevan,Gazar Parpyettsi str. 9b,Specialty Lodging,1,5.0,0,1,1,0
Yerevan Apartel,https://www.tripadvisor.com//Hotel_Review-g293932-d6980611-Reviews-Yerevan_Apartel-Yerevan.html,28750.0,59.0,Yerevan,Yerevan,Argishti Street 11/3,Other,0,0.0,0,0,0,0
Yerevan Apartment at Tpagrichner,https://www.tripadvisor.com//Hotel_Review-g293932-d9995685-Reviews-Yerevan_Apartment_at_Tpagrichner-Yerevan.html,29990.0,62.0,Yerevan,Yerevan,Tpagrichnyeri str. 5,Specialty Lodging,2,5.0,0,0,0,0
Yerevan Boutique Hotel,https://www.tripadvisor.com//Hotel_Review-g293932-d13536742-Reviews-Yerevan_Boutique_Hotel-Yerevan.html,22158.0,46.0,Yerevan,Yerevan,Alek Manukyan Street,Specialty Lodging,17,4.41176470588235,1,0,1,0
Yerevan Guest House,https://www.tripadvisor.com//Hotel_Review-g293932-d12302269-Reviews-Yerevan_Guest_House-Yerevan.html,9492.0,20.0,Yerevan,Yerevan,Tpagrichner Street 5 Hanrapetutyan,Other,0,0.0,1,0,1,0
Yerevan Home Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d13238509-Reviews-Yerevan_Home_Hostel-Yerevan.html,12500.0,26.0,Yerevan,Yerevan,Pushkina str. 28/18,Other,0,0.0,0,0,0,0
Yerevan Hostel,https://www.tripadvisor.com//Hotel_Review-g293932-d2054510-Reviews-Yerevan_Hostel-Yerevan.html,9500.0,20.0,Yerevan,Yerevan,Tpagrichnyeri str. 5,B&Bs,132,4.49242424242424,1,0,1,0
